#Mean	289.572
#Median	292
#Mode	292
#STDev	13.960
#PercentOfPairs	96.041
#InsertSize	Count
77	1
82	1
92	1
96	4
97	1
98	4
100	2
102	1
103	1
106	1
107	2
108	1
109	1
110	3
111	1
112	2
114	2
115	2
116	1
126	3
127	1
133	1
134	1
135	2
136	1
138	1
139	1
141	1
144	1
147	1
151	3
152	1
155	1
156	1
157	2
158	1
159	2
160	1
161	3
162	1
163	4
165	1
167	1
168	1
169	1
170	3
171	5
173	1
176	2
178	4
180	1
181	1
182	1
183	3
184	1
185	3
186	1
187	1
190	3
193	2
194	3
195	2
196	3
197	2
198	7
199	2
200	1
201	4
202	4
203	2
204	2
205	3
206	2
207	1
209	3
210	4
211	2
212	3
213	3
214	4
215	5
216	6
218	2
219	4
220	7
221	5
222	4
223	2
224	3
225	5
226	3
227	1
228	4
229	5
230	2
231	6
232	5
233	4
234	4
235	8
236	6
237	4
238	9
239	4
240	4
241	6
242	8
243	2
244	5
245	6
246	4
247	8
248	9
249	9
250	5
251	10
252	3
253	2
254	5
255	4
256	10
257	2
258	8
259	3
260	7
261	8
262	2
263	8
264	8
265	8
266	8
267	9
268	11
269	7
270	18
271	9
272	14
273	12
274	12
275	13
276	14
277	22
278	17
279	16
280	25
281	28
282	20
283	24
284	46
285	49
286	63
287	93
288	153
289	215
290	533
291	1987
292	13540
293	274
294	4
301	1
306	1
322	1
