#Mean	289.859
#Median	293
#Mode	293
#STDev	14.018
#PercentOfPairs	91.492
#InsertSize	Count
103	1
119	1
122	2
127	2
130	2
137	1
140	1
141	2
142	1
143	1
156	1
157	1
159	2
160	1
162	1
172	1
180	1
187	1
188	1
190	3
191	2
193	3
194	1
195	3
196	1
197	3
201	1
202	1
203	1
204	3
205	2
206	2
207	1
208	2
209	1
210	6
212	4
216	2
217	1
218	2
219	4
220	1
221	4
222	2
223	3
224	1
226	2
227	2
228	1
229	3
230	2
231	2
233	1
234	3
235	1
236	2
237	1
238	4
239	5
240	1
241	3
242	1
243	2
244	3
245	4
246	3
247	5
248	3
249	7
250	4
251	3
252	4
253	5
254	8
255	3
256	3
257	1
259	4
260	3
261	6
262	5
263	8
264	3
265	7
266	5
267	6
268	9
269	4
270	11
271	6
272	11
273	4
274	9
275	5
276	10
277	9
278	7
279	10
280	10
281	15
282	17
283	16
284	25
285	21
286	25
287	28
288	37
289	85
290	100
291	204
292	795
293	4477
294	83
295	2
305	1
