#Mean	289.123
#Median	292
#Mode	292
#STDev	15.098
#PercentOfPairs	92.046
#InsertSize	Count
88	2
95	1
99	1
101	1
109	1
111	3
112	3
116	2
118	1
121	1
125	2
126	1
127	3
128	1
130	1
134	2
135	2
136	1
140	1
141	1
144	1
145	1
146	1
147	1
148	2
152	2
153	4
155	2
156	1
157	2
158	1
159	1
160	5
161	1
162	1
163	1
165	3
167	3
168	1
172	1
173	2
177	1
180	2
181	4
182	2
183	1
184	1
187	1
188	1
189	1
191	1
192	2
193	1
194	3
195	3
196	1
197	1
198	1
199	4
200	4
201	1
202	2
203	1
204	3
205	5
206	5
207	5
208	2
209	2
210	3
211	3
212	2
213	2
214	3
215	6
216	4
217	5
218	6
219	4
220	3
221	3
222	1
223	6
224	5
225	3
226	5
227	7
228	4
229	1
230	4
231	5
232	3
233	4
234	4
235	3
236	3
237	3
238	4
239	2
240	2
241	9
242	6
243	10
244	5
245	8
246	4
247	4
248	3
249	11
250	7
251	7
252	3
253	6
254	3
255	9
256	8
257	11
258	11
259	6
260	7
261	8
262	9
263	5
264	12
265	10
266	3
267	4
268	5
269	4
270	6
271	6
272	8
273	10
274	11
275	13
276	8
277	14
278	16
279	15
280	13
281	21
282	22
283	19
284	17
285	16
286	26
287	38
288	55
289	75
290	229
291	1863
292	9582
293	210
294	4
296	1
299	2
367	1
