#Mean	289.858
#Median	293
#Mode	293
#STDev	15.127
#PercentOfPairs	91.334
#InsertSize	Count
85	1
86	1
89	1
98	2
99	1
103	2
104	1
105	1
108	1
111	1
112	2
113	2
114	1
118	3
119	2
121	1
123	1
124	1
125	1
126	1
127	1
129	2
130	1
131	1
133	1
135	1
137	5
138	1
140	2
142	3
143	1
144	1
145	1
147	1
149	2
150	1
151	3
153	2
154	1
157	4
158	3
159	2
160	2
161	1
162	2
163	1
164	2
166	2
168	3
169	2
170	1
171	1
173	1
174	1
175	1
176	3
177	1
179	1
180	2
181	1
182	3
183	2
184	1
185	5
186	1
187	1
189	2
190	2
191	3
192	2
193	4
194	4
195	4
196	3
197	1
198	5
199	2
200	2
201	6
202	2
203	6
204	4
206	5
207	5
208	3
209	7
210	9
211	6
212	4
213	4
214	8
215	3
216	7
217	4
218	6
219	10
220	11
221	9
222	7
223	8
224	8
225	6
226	7
227	6
228	3
229	3
230	7
231	7
232	8
233	9
234	8
235	8
236	8
237	6
238	8
239	8
240	8
241	7
242	5
243	8
244	5
245	6
246	11
247	14
248	6
249	5
250	11
251	10
252	6
253	9
254	11
255	6
256	13
257	6
258	11
259	11
260	10
261	17
262	13
263	13
264	11
265	17
266	14
267	9
268	16
269	24
270	22
271	17
272	13
273	23
274	16
275	24
276	11
277	16
278	22
279	27
280	24
281	25
282	25
283	32
284	31
285	36
286	63
287	56
288	80
289	168
290	308
291	835
292	2363
293	13591
294	268
295	31
296	3
297	4
299	1
300	1
302	1
305	1
311	1
312	2
319	1
322	2
330	1
