#Mean	292.163
#Median	294
#Mode	294
#STDev	11.823
#PercentOfPairs	95.579
#InsertSize	Count
102	1
111	2
113	1
114	3
116	1
121	1
126	1
128	1
130	1
135	1
148	1
162	1
163	1
165	1
170	1
177	1
179	1
181	1
186	1
189	1
195	1
197	1
199	1
200	1
201	3
202	1
204	3
207	1
208	1
209	3
210	3
211	4
212	2
213	1
214	1
218	2
219	3
220	1
221	1
222	1
224	2
225	2
226	2
227	1
228	3
231	3
234	1
235	1
236	2
238	3
239	3
241	1
242	1
243	1
245	2
246	1
247	4
248	2
249	3
250	3
252	3
253	1
254	1
255	8
256	2
257	1
258	1
259	1
260	1
261	1
262	3
263	7
264	3
265	7
266	5
267	2
268	1
269	4
270	6
271	7
272	3
273	9
274	5
275	7
276	7
277	5
278	7
279	5
280	8
281	8
282	8
283	4
284	8
285	6
286	14
287	12
288	16
289	17
290	32
291	34
292	75
293	520
294	6110
295	111
296	1
297	1
299	1
356	1
