#Mean	289.690
#Median	293
#Mode	293
#STDev	17.124
#PercentOfPairs	94.671
#InsertSize	Count
74	1
78	1
84	1
95	1
96	3
97	1
105	3
106	2
107	2
111	2
114	2
118	1
123	1
124	2
126	1
130	1
133	2
136	1
137	1
138	2
139	3
140	2
143	3
146	1
147	1
148	2
149	2
150	1
151	2
152	1
155	1
156	1
157	2
159	3
161	1
162	1
163	2
164	1
165	1
167	3
169	1
170	1
171	2
172	1
173	2
175	1
177	3
178	1
179	1
180	2
181	1
183	2
185	1
188	1
189	1
190	2
191	3
192	4
194	2
195	4
196	3
197	1
198	1
199	7
200	1
201	4
202	3
204	1
205	1
207	1
208	3
209	3
210	6
211	2
212	3
213	1
214	5
215	2
216	1
217	2
218	1
219	3
220	1
221	4
222	6
223	3
224	3
225	3
226	5
227	3
228	4
229	4
230	5
231	6
232	5
233	7
234	4
235	5
236	6
237	5
238	4
239	7
240	7
241	6
242	4
243	2
244	7
245	5
246	4
247	5
248	5
249	4
250	4
251	8
252	7
253	3
254	5
255	1
256	6
257	4
258	3
259	5
260	7
261	6
262	7
263	8
264	2
265	7
266	5
267	5
268	9
269	7
270	8
271	11
272	8
273	7
274	5
275	5
276	12
277	8
278	12
279	10
280	12
281	4
282	13
283	18
284	11
285	11
286	11
287	12
288	21
289	45
290	47
291	118
292	966
293	8453
294	171
295	3
297	2
299	1
301	1
